Date,S&P,AAPL,AMD,AMZN,C,CAT,CME
20120817,0.001870384,0.018327029,-0.016929499,-0.001574238,0.007260578,0.015901892,0.011711156
20120820,-2.12E-05,0.025952307,-0.002441979,-0.003405793,0.03220094,0.004765626,-0.002220463
20120821,-0.003503667,-0.013757198,-0.004901995,-0.00375203,0.024709198,-0.001660378,-0.007436583
20120822,0.000226377,0.019334871,-0.014851743,0.015127993,-0.007840658,-0.017540947,-0.000746278
20120823,-0.008105,-0.009372788,-0.027814255,-0.007854768,-0.030131426,-0.012362097,-0.004116461
20120824,0.006433988,0.000892602,0.010203764,0.018655892,0.008246901,-0.001827669,0.006354766
20120827,-0.000489135,0.018609759,-0.023107944,-0.007433561,-0.004704047,-0.009649406,0.000558844
20120828,-0.000808509,-0.001302848,-0.015706707,0.008937937,-0.011858029,-0.007182734,0.005941315
20120829,0.000843993,-0.001978957,-0.005290973,0.004095602,0.019240705,0.000929568,0.007377718
20120830,-0.00783643,-0.014354535,-0.018742549,-0.003648648,-0.008731005,-0.018997312,0.001652634
20120831,0.00506047,0.002064867,0.005390445,0.00829153,0.002021954,0.010129523,0.007129524
20120904,-0.001166639,0.014520072,-0.021739602,-0.001572235,-0.000337057,-0.031789989,0.007440253
20120905,-0.001068231,-0.007047777,-0.036367348,-0.006719526,0.002354227,0.001088407,0
20120906,0.020229537,0.008971634,0.041847069,0.020740423,0.044349844,0.024354019,0.019337813
20120907,0.004041795,0.006147068,-0.059088864,0.030403106,0.030070322,0.038295285,0.035024421
20120910,-0.006166806,-0.026357322,0.005780262,-0.007942458,-0.007512146,-0.011415914,0.00358955
20120911,0.003130052,-0.003249273,0.077601577,-0.005538308,0.025741818,0.017075382,-0.000512131
20120912,0.002090505,0.01383091,0.036652996,-0.000156012,0.011870269,0.005851845,0.00595722
20120913,0.016178172,0.019501602,0.007682415,0.017873316,0.041487373,0.01735257,0.007101723
20120914,0.003951136,0.012079745,-0.00511506,0.003950188,0.009820619,0.027088764,-0.007781195
20120917,-0.003129583,0.012222006,0.027814563,-0.012594985,-0.021206272,-0.012745885,-0.002891175
20120918,-0.001280595,0.003037382,-0.102317373,0.002902783,-0.00352922,0.011671621,-0.005464905
20120919,0.001184852,0.000270963,0.010989395,0.011260363,0.007046118,0.009304578,-0.011712322
20120920,-0.00054088,-0.004854765,-0.019311268,-0.00333054,-0.010884017,-0.015015166,0.005528689
20120921,-7.53E-05,0.001995009,0.002782126,-0.012888704,-0.004149598,-0.008900492,-0.0007753
20120924,-0.002235149,-0.013380116,-0.039665372,-0.010404944,-0.005360341,-0.009310206,-0.001984969
20120925,-0.01055739,-0.025288065,-0.053425039,-0.009245609,-0.018991197,-0.043406582,-0.013217974
20120926,-0.005753253,-0.012489672,0.01212124,-0.011112516,-0.010708128,-0.000690238,0.002797085
20120927,0.009602728,0.023974306,0.032595933,0.027339837,0.014049837,-0.00034506,0.002092809
20120928,-0.004487808,-0.021084729,-0.017647811,-0.008886367,-0.007611897,-0.010175596,-0.001917838
